"TeamID","Team","TotalWins"
"4465",DingFeng Gaming,1
"4466",MAX Esports,8
"4468",McBTSMac,10
"4470",MTP Esport,13
"4471",BK ROG Esports,15
"4475",Gen.G Black,14
"4477",Bewds Retirement Home,1
"448",OSKARAVELHO,2
"45",TooGoodForLan,3
"4502",MEOGANG,1
"4509",Je t'aime de ouf,2
"4511",Graviton Surge,1
"4513",POWER,1
"4515",Team Roquette,5
"4518",AG,9
"4519",PURPURE,1
"4521",HATALANTE,1
"4525",Goofy Goobers,16
"4527",SUPRMODE Gaming,10
"4529",IlluZion,4
"453",Vincit Gaming,4
"4532",ValorsGG,1
"4535",Foxy,4
"4537",Renatus Black,2
"4538",Team Queso,23
"454",FULLCS,2
"4542",Fire Angels,3
"4545",Kraken,2
"455",Question Mark,3
"4550",NOTHING2LOSE,10
"4553",Nexus Gaming,2
"456",BADARANTS,1
"4560",Unbind Crouch,3
"4567",SuperMassive Blaze,29
"4568",M4LIK,11
"4575",POISON CLAN,1
"4579",WICKED,1
"4594",ZEN ONI,1
"4595",Bongos,1
"46",BlackBelts,1
"4603",GX3,5
"4607",Just Breathe,2
"4616",UCAM Esports Club,36
"4621",Crypto Esports,14
"4635",Kawaii,1
"4636",NoPoaching,13
"4641",Rugrats,4
"4644",Leftovers,4
"4647",CoT,6
"4658",Professional Malders,5
"466",BOOM Esports,92
"4660",Sbread Gaming,4
"4663",TENSTAR,36
"4665",Macacos Bovinos,1
"4669",Digital Athletics,16
"4670",WiLD MultiGaming,17
"4671",EGN Esports,3
"4672",FPL-C,19
"4675",Bifrost,1
"468",Renegades,192
"4680",T69,8
"4683",Invincible Gaming,3
"4686",Fire Flux Esports,40
"4688",Fenrir,14
"4692",HorizonGG,2
"4693",Villains Esports,18
"4695",Pigeons Esports,4
"4696",Surreal Esports,8
"4697",OutRage,1
"470",Complexity,125
"4709",Funee Monkee,2
"472",BIG,74
"4726",Mustang Gaming,4
"473",Built By Gamers,112
"4730",QQQ,4
"4732",Team Moon,3
"4733",True Rippers,12
"474",Team Liquid,81
"4743",VPG Headhunters,2
"4744",Lariox Esports,1
"475",Team Quitooo,2
"4751",driveBy,2
"476",Team Owl,1
"4762",Galakticos,10
"4764",GOMA,1
"477",looking4org,4
"4779",KASTIRALIS,2
"478",Lunaris,11
"4789",ex-Recon 5,7
"479",LULw,2
"480",Quickmath,4
"4806",MAXD Esports,1
"4807",Team Arrow,3
"4808",Salt Esports,9
"4809",Team Exploit,27
"4826",B4 Angels,17
"4827",Fortnite Fraggers,3
"4829",Team Valor,17
"483",Morning Light,4
"4832",ROG Academy,2
"4835",Rebirth Esports,2
"4836",Wanderers Esports,4
"4837",Shopify Rebellion,31
"484",Pretty Boyz,8
"485",Homeless,6
"4851",TLP Monkies,2
"4852",Cruzeiro Esports,2
"4855",Zeal Esports,12
"486",Vertexo,1
"4860",DOMINUS,1
"4875","47 Gaming",1
"4877",Les Zinzins De Lespace,3
"4878",Reject$,17
"488",tyeasy,18
"4880",Synergy,2
"4890",No Org,1
"4891",SV Empire,11
"4892",Dewa VVV,2
"4893",Cynical,3
"4894",Keyd Stars,43
"4895",Massive Physiques,1
